Levis,Jeans 501 Original Fit,$49.990,00501-2327I17,Jeans,5 bolsillos,regular,100% algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Lee,Jeans 5 Bolsillos Regular,$30.990,56500205BLU,Jeans,5 bolsillos,regular,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Second Image,Jeans Básico,$9.990,Zz Gaznar,Jeans,5 bolsillos,regular,"alto 186 cm, pecho 96 cm, cintura 82 cm, cadera 96 cm. Usa talla 42",,
Mossimo,Jeans 5 Bolsillos Super Skinny,$19.990,Jdss Av2,Jeans,5 bolsillos,super skinny,"66% algodón, 32% poliéster, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Levis,Jeans 514 Slim Straigth Fit,$49.990,04514-0239I17,Jeans,5 bolsillos,slim,100% algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Mossimo,Jeans Super Skinny,$19.990,Jdss Gaspar,Jeans,5 bolsillos,super,"98% algodón, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Wrangler,Jeans Tapered,$29.990,56450237Stl,Jeans,5 bolsillos,tapered,100% algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Levis,Jeans 514 Slim Straigth Fit,$49.990,00514-0804I17,Jeans,5 bolsillos,slim,"98% algodón, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Wrangler,Jeans 5 Bolsillos Slim,$30.990,56450234VDL,Jeans,5 bolsillos,slim,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Second Image,Jeans Super Skinny,$16.990,Jdss Baslight,Jeans,5 bolsillos,super,"74% algodón, 24% poliéster, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Levis,Jeans 505 Regular Fit,$49.990,00505-1441I17,Jeans,5 bolsillos,regular,"99% algodón, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Levis,Jeans 511 Slim Skinny Fit,$49.990,18511-0007I17,Jeans,5 bolsillos,skinny,"98% algodón, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Second Image,Jeans 5 Bolsillos Regular,$16.990,JDSS BASMED,jeans,Chino,regular,,"alto 186 cm, pecho 96 cm, cintura 82 cm, cadera 96 cm. Usa talla 42",
Mossimo,Jeans 5 Bolsillos,$34.990,Jdsk Mos09Des,Jeans,5 bolsillos,"98% algodón, 2% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44",
Lee,Jeans 5 Bolsillos Skinny,$33.990,56500213BLK,Jeans,5 bolsillos,skinny,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Lee,Jeans 5 Bolsillos Slim,$27.990,55500213MBW,Jeans,5 bolsillos,slim,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Levis,Jeans 505 Regular Fit,$49.990,00505-1423I17,Jeans,5 bolsillos,regular,"99% algodón, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Lee,Jeans 5 Bolsillos Tapered,$27.990,56500226BLK,Jeans,5 bolsillos,tapered,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Ellus,Jeans Hombre Tiro Medio Slim,$29.990,AM032902I15,jeans,5 bolsillos,slim,"98% algodón, 2% elastano",casual,
Wrangler,Jeans 5 Bolsillos Slim,$30.990,56450214DNE,Jeans,5 bolsillos,slim,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Wrangler,Jeans Slim,$29.990,56450233VMB,Jeans,5 bolsillos,slim,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Second Image,Jeans Super Skinny Negro,$16.990,JDSS BASBLACK,jeans,5 bolsillos,slim,"74% algodón, 24% poliéster, 2%elastano",casual,"alto 186 cm, pecho 96 cm, cintura 82 cm, cadera 96 cm. Usa talla 42"
Lee,Jeans 5 Bolsillos Super Skinny,$29.990,56500214DK,Jeans,5 bolsillos,super skinny,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Mossimo,Jeans Skinny,$39.990,Jdsk Av1,Jeans,5 bolsillos,skinny,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M",
Levis,Jeans 511 Slim Skinny Fit,$49.990,04511-2075I17,Jeans,5 bolsillos,skinny,"99% algodón, 1% elastano",casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla M"
Lee,Jeans 5 Bolsillos Slim,$31.990,56500206VTG,Jeans,5 bolsillos,slim,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Lee,Jeans 5 Bolsillos Skinny,$33.990,56500212VTG,Jeans,5 bolsillos,skinny,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Lee,Jeans 5 Bolsillos Tapered,$29.990,56500225BLU,Jeans,5 bolsillos,tapered,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Lee,Jeans 5 Bolsillos Slim,$27.990,55500213DB,Jeans,5 bolsillos,slim,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
Wrangler,Jeans 5 Bolsillos Regular,$30.990,54450207MDLI17,Jeans,5 bolsillos,regular,algodón,casual,"alto 186 cm, pecho 97 cm, cintura 79 cm, cadera 99 cm. Usa talla 44"
